"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"Innovation ou Conservatisme (Art-Science : Emergences et ruptures), 3'47","2015-02-09 01:09:48",0,2,0,102
"Frank Malina: Ideas about Art and Science and Art and Techology","2015-02-09 00:42:47",0,2,1,153
"Ere spatiale par Roger Malina","2015-02-05 22:34:59",0,1,1,138
"Art spatial par Roger Malina","2015-02-05 22:16:15",0,0,1,162
"Interaction avec le vivant (Art-Science :  Emergences et ruptures)","2015-02-05 00:56:51",0,4,0,134
"Roger Malina, Art-Science : Emergences et ruptures (Entretien intégral / Full interview), 25'28","2015-02-04 23:03:26",0,0,3,133
"Roger Malina, 1 - La culture des données (Art-Science : Emergences et ruptures), 5'19","2015-01-31 19:19:07",0,3,0,133
"Frank Malina and the Cultural Appropriation of Science and Technology","2015-01-28 23:41:55",0,0,2,139
"Stiegler on the Need to Develop "Cooperatives of Disciplines"","2015-01-28 23:36:49",0,1,1,133
"Bernard Stiegler on Art for the Society of Hyper Control","2015-01-26 01:05:35",0,7,5,488
"Frank Malina and His Circle (with Chardronnet and Lapelletrie)","2015-01-23 03:01:15",0,3,0,160
"Using Big Data to Make Big - and Little - Decisions","2014-12-20 23:33:19",0,0,1,143
"Generative Art and Virtual Reality podcast w/ Ryan McMahan","2014-12-06 04:26:57",0,3,6,409
"The Intertwining Constructions of Blackness","2014-12-03 04:11:41",0,0,5,238
"50 Years of Failed Experiments","2014-12-02 18:20:56",0,0,0,1
"El Futuro de las Prótesis Robóticas/ The Future of Robotic Prostheses","2014-11-30 02:56:47",0,6,20,215
"Putting the User Back in User Experience","2014-11-21 17:04:46",0,0,2,347
"Perspectives on Games for Change","2014-11-21 17:00:12",0,2,1,125
"Why Big Dreamers Need to Know About Big Data","2014-11-17 15:16:41",0,1,1,273
"Cancer: Finding Beauty In the Beast","2014-11-17 02:39:41",0,1,1,585
"Dark Matter in Astronomy and in Art","2014-11-11 16:06:20",0,1,1,260
"Introduction to Art and Earth Science","2014-11-05 02:08:46",0,0,4,442
"Terranova Interviewing Naimark","2014-11-04 04:53:19",0,0,0,2
"Platform for the Indie Platformer","2014-11-04 04:51:11",0,1,0,196
"Présentation de la plateforme RAMI au Liban","2014-10-21 00:04:26",0,1,0,267
"Algorithms and the State of Postmodern Art","2014-10-20 23:55:58",0,1,4,116
"Parallels and Contrasts Between Artificial Life and Computer Art ","2014-10-20 23:22:20",0,3,1,289
"Emergence in Generative, Algorithmic Art","2014-10-20 22:41:44",0,2,1,197
"Modern Art's Unsung Pioneer: Gadney on Malina, Part 3","2014-10-20 22:06:05",0,1,2,137
"Modern Art's Unsung Pioneer: Gadney on Malina, Part 2","2014-10-20 22:04:12",0,0,1,72
"Modern Art's Unsung Pioneer: Gadney on Malina, Part 1","2014-10-20 22:03:03",0,3,3,132
"The Work and Legacy of Liliane Lijn, Part 3","2014-10-10 22:54:10",0,0,3,121
"The Work and Legacy of Liliane Lijn, Part 2","2014-10-10 22:53:17",0,1,2,93
"The Work and Legacy of Liliane Lijn, Part 1","2014-10-10 22:51:45",0,1,1,171
"Viralité et numéricité","2014-09-06 01:15:51",0,0,2,191
"Scénographies du vivant","2014-09-06 01:13:44",0,1,0,148
"The Conductor","2014-09-06 01:11:07",0,1,0,218
"Crowdfunding the Indie Film","2014-09-06 01:09:15",0,0,2,105
"Finding America","2014-09-06 01:06:15",0,0,1,88
"Simply Successful Crowdfunding","2014-07-31 20:10:11",0,0,1,128
"Arts Activities of Successful Scientists","2014-07-31 20:08:18",0,4,4,744
"Water is in the Air","2014-07-31 20:05:03",0,3,2,190
"The Sublime in Art and Science","2014-07-31 20:04:04",0,5,14,219
"Art and Atoms","2014-07-31 20:02:10",0,1,3,148
"Arts, Humanities and Complex Networks ","2014-07-31 20:00:18",0,1,1,117
"Leonardo Music Journal Anniversary","2014-07-31 19:57:35",0,1,0,201
"Here Come Immersive Movies","2014-07-31 19:53:24",0,0,1,271
"Sample audio - Erik Satie's Gymnopedie","2014-07-28 22:57:02",0,0,0,47
